id,Brightness,Mean B,Mean G,Mean R,Class
79,94.8072727,98.3672727,102.2945455,83.76,2
80,200.8461744,204.305,198.278,199.9554785,4
81,91.1192037,94.343,106.605244,72.4093227,2
82,55.2184923,51.4293286,56.6828622,57.5432862,3
83,91.8378163,98.0454274,101.434,76.034,2
84,97.5336879,105.032,103.407,84.162234,2
85,100.606,109.7312572,114.4786621,77.6078431,2
86,126.1505519,135.8556291,133.8092715,108.786755,2
87,132.886,143.1528269,149.094523,106.4107774,3
88,124.0527761,130.534432,133.555621,108.0682755,3
89,85.7894144,94.147,88.5135135,74.7077703,3
90,107.9783037,120.1656805,124.7218935,79.0473373,2
91,148.2921434,158.5251716,147.453,138.8981693,3
92,123.6965699,136.1155673,132.332,102.6422164,3
93,217.3598683,220.183,215.2161534,216.6804184,4
94,74.4301075,74.3245357,81.0967742,67.869,3
95,210.7243767,213.7686981,208.8975069,209.507,4
96,154.9024745,163.2718341,150.6582969,150.7772926,1
97,193.630854,189.0206612,192.7561983,199.1157025,1
98,144.6001372,161.7993827,142.4927984,129.5082305,1
99,117.8732694,127.2225772,125.3216187,101.0756124,2
100,147.4757953,163.1267865,155.9704933,123.330106,2
101,234.9681316,236.8527371,233.3955281,234.6561295,4
102,193.853,196.383,189.2141561,195.9618875,1
103,125.5333333,129.7617647,125.9264706,120.9117647,1
104,124.439,137.4375329,135.2778071,100.601476,2
105,99.153605,106.442,103.9874608,87.031348,2
106,226.521,230.7054283,225.060508,223.797,4
107,96.9154135,100.9323308,103.8656015,85.9483083,2
108,91.626,103.2926829,104.183,67.402439,2
109,157.0083979,173.1841085,152.4844961,145.3565891,1
110,107.8531541,119.0558428,123.2533609,81.2502585,2
111,113.1627543,124.7981221,122.5962441,92.0938967,2
112,112.5325103,119.9283951,116.2592593,101.4098765,3
113,70.51,76.656,79.821,55.053,1
114,119.5887933,125.309,129.8908008,103.5665122,3
115,132.1442865,140.9036335,134.1445498,121.3846761,2
116,140.5313029,150.2538071,147.099,124.2411168,3
117,98.5296804,97.6885845,114.6995434,83.201,2
118,120.1963982,126.1671764,123.9622834,110.459735,3
119,213.0456384,217.6048527,211.702,209.830156,4
120,163.5718519,173.8,159.5955556,157.32,1
121,62.2881356,59.0084746,72.1355932,55.720339,3
122,117.4863946,124.5102041,108.1734694,119.7755102,1
123,77.0494201,78.1028744,88.0393343,65.006,3
124,106.512,118.7861446,106.8222892,93.9277108,1
125,92.286117,102.4207188,101.8012685,72.6363636,3
126,119.1781843,122.752,133.6626016,101.12,3
127,127.1978892,137.5461741,136.4432718,107.6042216,3
128,137.9485294,150.1691176,128.8235294,134.853,1
129,100.3225975,104.2325216,114.048,82.6873527,3
130,67.548,78.685681,72.7881257,51.17,3
131,71.1892473,83.0645161,71.9096774,58.5935484,3
132,147.8937853,152.7084746,142.4915254,148.4813559,1
133,139.1255449,146.3068875,147.0767219,123.993,3
134,121.4908136,133.58,127.4041995,103.488189,2
135,138.3311828,135.958,132.3741935,146.6612903,1
136,114.9623503,125.3713634,120.4717627,99.044,3
137,103.360161,112.2997988,104.8692153,92.9114688,3
138,102.6474312,107.4112491,103.798393,96.7326516,1
139,82.7997312,91.4495968,90.3165323,66.633,3
140,124.4824292,130.431,121.5875128,121.4288639,1
141,146.7342256,149.2466539,147.4282983,143.5277247,1
142,102.0551827,106.6187919,109.5234899,90.0232662,3
143,88.5536278,99.8643533,93.3391167,72.4574132,3
144,215.044,219.7251948,213.8483117,211.5584416,4
145,74.9155556,76.101,72.8038095,75.842,1
146,106.2916667,113.0635593,117.914548,87.8968927,2
147,116.8487448,123.8312679,123.7778837,102.937,1
148,170.2437276,168.129,166.828,175.7741935,1
149,221.3552489,225.7516234,220.0393669,218.2747565,4
150,209.644,215.341,207.25,206.341,1
151,144.4335749,153.395,143.1811594,136.7246377,1
152,141.259,153.247216,137.922,132.608,1
153,217.4374313,221.4145078,216.0513424,214.8464437,4
154,111.5944317,127.512,125.6745607,81.5966387,2
155,89.838,99.11,97.9948849,72.4092072,3
156,178.6924242,189.309,173.3363636,173.4318182,1
157,126.086,133.5322581,116.121,128.6048387,1
158,177.2983607,185.6131148,174.4622951,171.8196721,1
159,149.8913399,148.3946078,146.125,155.1544118,1
160,93.1821429,103.8642857,105.6071429,70.075,3
161,165.8016878,169.6202532,160.443,167.3417722,1
162,225.0544687,230.7606444,224.1622555,220.2405063,1
163,122.4934037,131.277,138.8562005,97.347,2
164,113.5501696,125.5182525,129.9545183,85.1777379,2
165,85.3,95.0435897,94.9,65.9564103,3
166,245.4847747,247.374,246.52,242.5602923,4
167,100.7777778,104.180791,118.443,79.7096045,2
168,109.9571751,120.145,120.719,89.0075131,3
169,99.4772296,104.1432638,108.166,86.1223909,3
170,127.927,140.988,146.788,96.0047619,2
171,220.8582955,224.6596067,220.1346445,217.7806354,4
172,103.3014572,107.5464481,123.7715847,78.5863388,2
173,118.1192551,126.9595079,133.0133265,94.385,3
174,112.3144476,118.9596317,129.7691218,88.2145892,2
