id,Brightness,Mean B,Mean G,Mean R,Class
103,103.360161,112.2997988,104.8692153,92.9114688,3
104,215.044,219.7251948,213.8483117,211.5584416,4
105,215.2851213,218.4904215,213.1273946,214.2375479,4
106,236.1907797,239.6698534,235.932441,232.97,4
107,159.8333333,176.240625,171.715625,131.54375,2
108,73.6252073,73.311,91.5248756,56.039801,2
109,118.4463938,128.9733593,128.691358,97.6744639,2
110,217.4374313,221.4145078,216.0513424,214.8464437,4
111,166.4144144,181.2331081,161.9932432,156.0168919,1
112,217.3297394,220.4528302,215.6118598,215.9245283,4
113,110.7913753,118.4493007,116.4055944,97.5192308,1
114,233.8862296,238.617,233.8116545,229.23,4
115,152.2697291,150.0176678,146.675,160.1166078,1
116,112.1064103,118.9086538,127.3817308,90.0288462,3
117,176.5202092,190.8145506,173.5905849,165.1554922,1
118,155.1757679,163.4453925,154.2406143,147.8412969,1
119,136.5521807,144.4065421,147.2904984,117.9595016,3
120,151.637,158.1108071,147.8618331,148.9384405,1
121,122.4934037,131.277,138.8562005,97.347,2
122,113.6652085,119.685,115.1793526,106.1312336,1
123,232.837,235.6781784,232.1343454,230.6986717,4
124,216.2727273,221.4363636,215.4036364,211.9781818,1
125,242.9715426,249.4364914,242.862,236.616,4
126,132.061,146.5483405,145.3924964,104.2424242,2
127,127.731297,138.3014608,143.571,101.3213811,2
128,89.9687868,96.417,110.569,62.9204947,2
129,121.1945946,132.5405405,133.3648649,97.6783784,2
130,100.7777778,104.180791,118.443,79.7096045,2
131,99.0482906,108.591,113.7294872,74.824359,2
132,104.258,113.4892473,113.2903226,85.9946237,2
133,125.329,130.9527897,138.6351931,106.3991416,3
134,129.2827381,135.6755952,146.631,105.5416667,3
135,107.185,112.9476967,125.0297505,83.5772553,2
136,86.6022364,89.7124601,102.3881789,67.706,3
137,74.6684341,79.0328738,85.9003181,59.0721103,3
138,116.6634241,123.856,128.1011673,98.033,3
139,130.3766466,139.138,142.7528466,109.2391159,3
140,93.64,95.5181129,112.792,72.61,2
141,107.6693649,114.0136986,122.5,86.494396,2
